koUniv,continent,country,city,forUniv_eng,forUniv_kor,TO,period,GPA,lang
숭실대,유럽,오스트리아,,Vorarlberg University of Applied Sciences,FHV,-,-,3.5,A-2
숭실대,유럽,오스트리아,,"FHWIEN Der WKW 
(University of Applied Sciences for Management & Communication)",FHWIEN,-,-,3,A-2
숭실대,유럽,이탈리아,,Carlo Cattaneo University ,카를로카타네오대학,-,-,3,A-4
숭실대,유럽,이탈리아,,University of Salerno,살레르노대,-,-,3.5,"CELI B2,
CILS B2"
숭실대,유럽,이탈리아,,University of Verona,베로나대,-,-,3,A-4
숭실대,유럽,이탈리아,,University of Rome Tor Vergata,로마토르베가타대,-,-,3,A-4
숭실대,유럽,이탈리아,,University of Siena,시에나대,-,-,3,A-3
숭실대,유럽,이탈리아,,Sapienza University of Rome,사피엔자,-,-,3,A-1
숭실대,유럽,체코,,Metropolitan University Prague,프라하 메트로폴리탄대,-,-,3,A-3
숭실대,유럽,체코,,Tomas Bata University,토마스바타대,-,-,3.5,A-3
숭실대,유럽,체코,,University of Hradec Králové,흐라데츠크랄로베대,-,-,3.5,A-3
숭실대,유럽,체코,,University of Ostrava,오스트라바대,-,-,3.5,A-3 *변동가능
숭실대,유럽,체코,,Brno University of Technology,브르노공대,-,-,3,A-3 *변동가능
숭실대,유럽,크로아티아,,Algebra University College,알제브라대,-,-,3,A-3
숭실대,유럽,터키,,Ankara University,앙카라대,-,-,3.5,A-2
숭실대,유럽,터키,,Dicle University,디클대,-,-,3,A-2
숭실대,유럽,터키,,Erciyes University,에르지에스대,-,-,3,A-2
숭실대,유럽,터키,,Istanbul Aydin University,이스탄불애이든대,-,-,3,A-2
숭실대,유럽,터키,,Altınbaş University,알틴바쉬대,-,-,3,A-2
숭실대,유럽,터키,,Marmara University,마르마라대,-,-,3,A-4
숭실대,유럽,터키,,Sinop University,시놉대,-,-,3.5,A-3
숭실대,아시아,키르기즈스탄,,Osh Technological University,오쉬기술대,-,-,3.5,A-4
숭실대,유럽,포르투갈,,Polytechnical Institute of Coimbra,코임브라공대,-,-,3.5,"A-3,
Celpe-bras
Intermediario
Superior"
숭실대,유럽,폴란드,,Kozminski University,코즈민스키대,-,-,3,A-3
숭실대,유럽,폴란드,,University of Economics in Katowice,카토비체경제대 ,-,-,3,A-3
숭실대,유럽,프랑스,,Audencia Nantes School of Management,오덴시아낭뜨경영대,-,-,3.5,A-2
숭실대,유럽,프랑스,,Ecole de Management de Normandie,노르망디비즈니스스쿨,-,-,3,"TOEFL IBT 80
IELTS 6.0
TOEIC 800,
D-1"
숭실대,유럽,프랑스,,ESSCA School of Management,ESSCA,-,-,3,A-3
숭실대,유럽,프랑스,,ESCE International Business School,ESCE,-,-,3,A-3
숭실대,유럽,프랑스,,GES Schools' Network,GES 네트워크,-,-,3,"A-2, D-2"
숭실대,유럽,프랑스,,Jean Monnet University,장모네대,-,-,3,"A-4, D-3"
숭실대,유럽,프랑스,,Pôle Universitaire Léonard de Vinci,폴대학교레오나드르드빈치,-,-,3.5,"A-4, D-3"
숭실대,유럽,프랑스,,SciencesCom ,시앙스컴,-,-,3.5,A-2
숭실대,유럽,프랑스,,Toulouse Business School,툴루즈경영대,-,-,3.5,"A-4, D-3"
숭실대,유럽,프랑스,,University of Clermont-Ferrand,끌레르몽페랑대,-,-,3,"A-4, D-3"
숭실대,유럽,프랑스,,University of Burgundy,부르고뉴대,-,-,3,A-3
숭실대,유럽,프랑스,,University of the Littoral Opal Coast,리토랄오팔코스트대,-,-,3.5,"A-4, D-3"
숭실대,유럽,프랑스,,University Paris-Est Créteil,UPEC,-,-,3,"A-4, D-3"
숭실대,유럽,프랑스,,University Savoie Mont Blanc,사부아몽블랑대,-,-,3,"A-4, D-3"
숭실대,유럽,프랑스,,Ecole de Management Bretagne Atlantique,EMBA,-,-,3,A-3
숭실대,유럽,프랑스,,Université Bordeaux Montaigne,보르도몽테뉴대,-,-,3,D-2
숭실대,유럽,프랑스,,École pour l'informatique et les nouvelles technologies,EPITECH ,-,-,3,"A-4, D-3"
